"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","LaunchpadLA","JobSync","1,634,000","venture","2011-11-15","Details",""
"2","LaunchpadLA","Atlas","700,000","seed","2012-12-01","Details",""
"3","Amplify.LA","Fanbread","800,000","seed","2014-05-01","Details","Exited"
