"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Startmate","Bugcrowd","6,000,000","venture","2015-03-11","Details",""
"2","Startmate","Bugcrowd","17,000,000","venture","2016-04-20","Details",""
"3","Startmate","Bugcrowd","1,600,000","seed","2013-09-04","Details",""
"4","Seedcamp","Elliptic","5,000,000","venture","2016-03-20","Details",""
