"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Docker","800,000","angel","2011-02-28","Details","Exited"
"2","Y Combinator","FreshPlum","1,044,999","seed","2014-02-13","Details","Exited"
"3","Y Combinator","Chart.io","1,290,000","seed","2010-06-01","Details",""
"4","Y Combinator","PicnicHealth","2,000,000","seed","2015-04-02","Details",""
"5","500startups","InternMatch","400,000","angel","2011-02-01","Details","Exited"
"6","Seedcamp","Erply","2,000,000","venture","2010-03-22","Details",""
"7","Y Combinator","SendHub","3,000,000","venture","2013-09-04","Details","Exited"
