"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Priime","","seed","2015-04-01","Details",""
"2","Y Combinator","Bagaveev Corporation","","seed","2015-04-01","Details",""
"3","Boost VC","Bagaveev Corporation","","seed","2015-04-01","Details",""
