"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Le Tote","8,800,000","venture","2015-02-05","Details",""
"2","Y Combinator","Le Tote","15,000,000","venture","2015-11-19","Details",""
