"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Healthbox","Desktop Genetics","1,400,000","venture","2015-09-15","Details",""
"2","Techstars","GeoSpock","5,400,000","venture","2015-10-05","Details",""
