"","InvName2","InvID2","website"
"2172","Edward 'Skip'  Stritter","5785284834754560","http://www.seed-db.com/investorgraph/investorview?investorid=5785284834754560"
"2173","Edward B. Roberts","5096746891870208","http://www.seed-db.com/investorgraph/investorview?investorid=5096746891870208"
"2174","Edward Lando","6257631425462272","http://www.seed-db.com/investorgraph/investorview?investorid=6257631425462272"
"2175","Edward Zimmerman","6373699724771328","http://www.seed-db.com/investorgraph/investorview?investorid=6373699724771328"
"2176","Eesti Arengufond","6275205219483648","http://www.seed-db.com/investorgraph/investorview?investorid=6275205219483648"
"2177","Eideard Venture Capital","5662116006592512","http://www.seed-db.com/investorgraph/investorview?investorid=5662116006592512"
"2178","Eigenvalue","5681609487417344","http://www.seed-db.com/investorgraph/investorview?investorid=5681609487417344"
"2179","Eight Roads Ventures","6010249228058624","http://www.seed-db.com/investorgraph/investorview?investorid=6010249228058624"
"2180","Eileen Burbidge","6138024236679168","http://www.seed-db.com/investorgraph/investorview?investorid=6138024236679168"
"2181","Eileen Rudden","4562944297795584","http://www.seed-db.com/investorgraph/investorview?investorid=4562944297795584"
"2182","Eileen Rudden","5688209207984128","http://www.seed-db.com/investorgraph/investorview?investorid=5688209207984128"
"2183","Eileses Capital","5145496402264064","http://www.seed-db.com/investorgraph/investorview?investorid=5145496402264064"
"2184","Einar G Gudmundsson","5061382399590400","http://www.seed-db.com/investorgraph/investorview?investorid=5061382399590400"
"2185","El Paso Advisors","5129406683021312","http://www.seed-db.com/investorgraph/investorview?investorid=5129406683021312"
"2186","El Paso Advisors","5831502617116672","http://www.seed-db.com/investorgraph/investorview?investorid=5831502617116672"
"2187","El Paso Corporation","6477344491438080","http://www.seed-db.com/investorgraph/investorview?investorid=6477344491438080"
"2188","Elad Gil","6312963522691072","http://www.seed-db.com/investorgraph/investorview?investorid=6312963522691072"
"2189","Elaia Partners","6380559295053824","http://www.seed-db.com/investorgraph/investorview?investorid=6380559295053824"
"2190","Elaine Wherry","6294399059230720","http://www.seed-db.com/investorgraph/investorview?investorid=6294399059230720"
"2191","Elderstreet Investments","5284068371464192","http://www.seed-db.com/investorgraph/investorview?investorid=5284068371464192"
"2192","Elefund","6479095105847296","http://www.seed-db.com/investorgraph/investorview?investorid=6479095105847296"
"2193","Element 8","6560236701745152","http://www.seed-db.com/investorgraph/investorview?investorid=6560236701745152"
"2194","Elementum Ventures","5092204867485696","http://www.seed-db.com/investorgraph/investorview?investorid=5092204867485696"
"2195","Elementum Ventures","5213627015495680","http://www.seed-db.com/investorgraph/investorview?investorid=5213627015495680"
