InvName	InvID1	InvID2	InvID3	InvID4	InvID5	InvID6	InvID7
291	Georges Harik	5051443950125056.csv	5089289486467072.csv	NA	NA	NA	NA	NA
292	GIC	5751103182340096.csv	6089908007469056.csv	NA	NA	NA	NA	NA
293	Giles Goodwin	5178842964557824.csv	6522259527172096.csv	NA	NA	NA	NA	NA
294	Gilles Samoun	6301426263261184.csv	6455924965244928.csv	NA	NA	NA	NA	NA
295	GlenRock Israel	5294033769332736.csv	5502375573848064.csv	NA	NA	NA	NA	NA
296	Glilot Capital Partners	6374806375104512.csv	6710029189120000.csv	NA	NA	NA	NA	NA
297	Global Insurance Accelerator	4840538977075200.csv	5683774385815552.csv	NA	NA	NA	NA	NA
298	Globo	4895600323592192.csv	5990191458156544.csv	NA	NA	NA	NA	NA
299	Go Beyond Investing	5464559640903680.csv	5670727097253888.csv	NA	NA	NA	NA	NA
300	Goldcrest Capital	4691181556465664.csv	5668250394296320.csv	NA	NA	NA	NA	NA
301	Goodwater Capital	5172622023196672.csv	6383326046715904.csv	NA	NA	NA	NA	NA
302	Gordon Segal	4946267612381184.csv	5201123627499520.csv	NA	NA	NA	NA	NA
303	Gordon Tucker	5677538663727104.csv	6449916603793408.csv	NA	NA	NA	NA	NA
304	Gorge Angel Investor Network	5686195958841344.csv	6229095826325504.csv	NA	NA	NA	NA	NA
305	GP Bullhound	4698644619984896.csv	4812212946337792.csv	NA	NA	NA	NA	NA
306	Granatus Ventures	4855055479996416.csv	6330378369368064.csv	NA	NA	NA	NA	NA
307	GrandBanks Capital	5763265992851456.csv	5949837816102912.csv	NA	NA	NA	NA	NA
308	Graph Ventures	5936770860449792.csv	6662988186517504.csv	NA	NA	NA	NA	NA
309	GREE Ventures	4887066546536448.csv	5647960280924160.csv	NA	NA	NA	NA	NA
310	Green Visor Capital	6230434014822400.csv	6427802354057216.csv	NA	NA	NA	NA	NA
311	Greg Badros	5762832335372288.csv	6274477658734592.csv	NA	NA	NA	NA	NA
312	Greg Slyngstad	5239793025810432.csv	5987870368071680.csv	NA	NA	NA	NA	NA
313	Gregory Chang	5028721824104448.csv	5373820907028480.csv	NA	NA	NA	NA	NA
314	GVA capital	4708171268489216.csv	5677441020329984.csv	NA	NA	NA	NA	NA
315	Hal Gentry	4612684213387264.csv	5639493742755840.csv	NA	NA	NA	NA	NA
316	Hans Hickler	5768703975096320.csv	5965574853099520.csv	NA	NA	NA	NA	NA
317	Harvard Business School Angels	5247007262244864.csv	6270763204083712.csv	NA	NA	NA	NA	NA
318	HAXLR8R	6023406889730048.csv	1005.csv	NA	NA	NA	NA	NA
319	Healthbox	6516482527723520.csv	6004.csv	NA	NA	NA	NA	NA
320	HealthTech Capital	4812693693267968.csv	5167703295787008.csv	NA	NA	NA	NA	NA
321	Henrik Rosendahl	5624727448059904.csv	5688443434696704.csv	NA	NA	NA	NA	NA
322	Henrik Torstensson	5672945565302784.csv	5808264696561664.csv	NA	NA	NA	NA	NA
323	Highway1	5388661327659008.csv	2579002.csv	NA	NA	NA	NA	NA
324	Hillhouse Capital Group	5496146495537152.csv	5725367872520192.csv	NA	NA	NA	NA	NA
325	Hiten Shan	5436420256694272.csv	5620441750175744.csv	NA	NA	NA	NA	NA
326	HIVE	5942008623398912.csv	6741469981310976.csv	NA	NA	NA	NA	NA
327	Homestead Partners	5865906651529216.csv	6270960118267904.csv	NA	NA	NA	NA	NA
328	Hudson River Capital Partners	4857202980421632.csv	5334078739972096.csv	NA	NA	NA	NA	NA
329	Humana	4693337059622912.csv	5726887770849280.csv	NA	NA	NA	NA	NA
330	HV Holtzbrinck Ventures	5132212504625152.csv	6722850190786560.csv	NA	NA	NA	NA	NA
331	Hyperplane Venture Capital	5630744827265024.csv	6644739063414784.csv	NA	NA	NA	NA	NA
332	Hyunjoon Park	5731885984514048.csv	6298521930039296.csv	NA	NA	NA	NA	NA
333	Iain Taylor	5283048841019392.csv	5383423698927616.csv	NA	NA	NA	NA	NA
334	IDEA Fund Partners	5719459406807040.csv	5916603937980416.csv	NA	NA	NA	NA	NA
335	IDEO	5098870119858176.csv	6459147964907520.csv	NA	NA	NA	NA	NA
336	IDG Ventures USA	5119782638583808.csv	5660071031734272.csv	NA	NA	NA	NA	NA
337	IG Business Angels	4763812838244352.csv	5733013870608384.csv	NA	NA	NA	NA	NA
338	Imagine K12	4611719561216000.csv	6006.csv	NA	NA	NA	NA	NA
339	In Hsieh	5671297740701696.csv	6573419025924096.csv	NA	NA	NA	NA	NA
340	IncuVest	5635977808707584.csv	6427409469407232.csv	NA	NA	NA	NA	NA
341	Industrifonden	4856573784489984.csv	6699982375616512.csv	NA	NA	NA	NA	NA
342	InnoSpring	6641303433510912.csv	20001.csv	NA	NA	NA	NA	NA
343	Innovation Department	4685357970882560.csv	5742590221615104.csv	NA	NA	NA	NA	NA
344	Inspiration Ventures	5491174542409728.csv	5720258002288640.csv	NA	NA	NA	NA	NA
345	Investor's Circle	5175222709780480.csv	6238735041560576.csv	NA	NA	NA	NA	NA
346	Investors Foundry	4697321635840000.csv	4866091817893888.csv	NA	NA	NA	NA	NA
347	Iowa Startup Accelerator	5189600431570944.csv	5213879441293312.csv	NA	NA	NA	NA	NA
348	Iron Gate Capital	5202704024469504.csv	5536219177943040.csv	NA	NA	NA	NA	NA
349	iSeed Ventures	5753757941891072.csv	5808899168927744.csv	NA	NA	NA	NA	NA
350	Issac Roth	5631259166375936.csv	5921418327883776.csv	NA	NA	NA	NA	NA
351	iSteps App Ventures	361610.csv	5633048808783872.csv	NA	NA	NA	NA	NA
352	Isy Goldwasser	5803237336678400.csv	6310631892320256.csv	NA	NA	NA	NA	NA
353	Jaan Tallinn	4861184817758208.csv	5504834656534528.csv	NA	NA	NA	NA	NA
354	Jake Gibson	6243949001834496.csv	6751488269352960.csv	NA	NA	NA	NA	NA
355	James Currier	5720393939681280.csv	6189458378457088.csv	NA	NA	NA	NA	NA
356	James Hirsch	5446657030225920.csv	6263271522828288.csv	NA	NA	NA	NA	NA
357	James Lindenbaum	5300395719000064.csv	5654242408792064.csv	NA	NA	NA	NA	NA
358	Jason Finger	5150695158185984.csv	6262962775916544.csv	NA	NA	NA	NA	NA
359	Jason Green	5200464270327808.csv	5707052773015552.csv	NA	NA	NA	NA	NA
360	Jason Henrichs	5459494968492032.csv	5919862878633984.csv	NA	NA	NA	NA	NA
361	Jason Port	5686639766536192.csv	5854521485950976.csv	NA	NA	NA	NA	NA
362	Javier Juncadella	5195848082259968.csv	6665865680388096.csv	NA	NA	NA	NA	NA
363	Jay Boberg	5997118334435328.csv	6291447028383744.csv	NA	NA	NA	NA	NA
364	Jay Srinivasan	5127027136921600.csv	5245994660790272.csv	NA	NA	NA	NA	NA
365	Jayna Cooke	5706524995354624.csv	6131510805528576.csv	NA	NA	NA	NA	NA
366	Jean Pigozzi	4683574015950848.csv	5763597376421888.csv	NA	NA	NA	NA	NA
367	Jeff Arnold	4605504370245632.csv	6049411410952192.csv	NA	NA	NA	NA	NA
368	Jeff Epstein	5704757398208512.csv	5895799611326464.csv	NA	NA	NA	NA	NA
369	Jeff Fluhr	5677709690667008.csv	5754738968625152.csv	NA	NA	NA	NA	NA
370	Jeff Jordan	5755912186757120.csv	6033633970225152.csv	NA	NA	NA	NA	NA
371	Jeff Weiner	5753088681967616.csv	6562701899726848.csv	NA	NA	NA	NA	NA
372	Jennifer Lum	4629498163101696.csv	5706648978980864.csv	NA	NA	NA	NA	NA
373	Jerry Yang	4910481408000000.csv	5713733208768512.csv	NA	NA	NA	NA	NA
374	Jesse Draper	4853124355325952.csv	4930801569366016.csv	NA	NA	NA	NA	NA
375	Jesse Robbins	4691485991632896.csv	6216760667668480.csv	NA	NA	NA	NA	NA
376	Jessica Livingston	5166122290642944.csv	5730387347111936.csv	NA	NA	NA	NA	NA
377	Jim Estill	5678719557435392.csv	5712247703732224.csv	NA	NA	NA	NA	NA
378	Jim McKelvey	5237303018520576.csv	5750118678528000.csv	NA	NA	NA	NA	NA
379	Jim Payne	5243051060494336.csv	5843651607396352.csv	NA	NA	NA	NA	NA
380	Joe Fernandez	5142770956107776.csv	5765621329428480.csv	NA	NA	NA	NA	NA
381	Joe Montana	5646038283059200.csv	6744587599085568.csv	NA	NA	NA	NA	NA
382	Joel Simkhai	6173834990321664.csv	6266561954316288.csv	NA	NA	NA	NA	NA
383	John Katzman	5661553445568512.csv	5735016046788608.csv	NA	NA	NA	NA	NA
384	John Maloney	5092886089564160.csv	5895509440987136.csv	NA	NA	NA	NA	NA
385	John Taysom	5746422120972288.csv	6145477913346048.csv	NA	NA	NA	NA	NA
386	Jon Koen	4788592085827584.csv	5992891381972992.csv	NA	NA	NA	NA	NA
387	Jon Peterson	5721378451881984.csv	6179949723516928.csv	NA	NA	NA	NA	NA
388	Jonah Goodhart	5172054902964224.csv	5561543286587392.csv	NA	NA	NA	NA	NA
389	Jonathan Coon	5709735600848896.csv	6127087266037760.csv	NA	NA	NA	NA	NA
390	Joshua Reeves	5125050965426176.csv	6083247997976576.csv	NA	NA	NA	NA	NA
391	Joshua Summers	4739704352145408.csv	6232703028428800.csv	NA	NA	NA	NA	NA
392	Justin Fishner-Wolfson	5382994017648640.csv	6410690130608128.csv	NA	NA	NA	NA	NA
393	Justin Kitch	5073667050438656.csv	5715500147408896.csv	NA	NA	NA	NA	NA
394	Justin Mateen	5390429059022848.csv	5505471574179840.csv	NA	NA	NA	NA	NA
395	Justin Yoshimura	4948551998111744.csv	5734710567239680.csv	NA	NA	NA	NA	NA
396	Kae Capital	5159578727612416.csv	5555964124069888.csv	NA	NA	NA	NA	NA
397	Kalaari Capital	5693375449661440.csv	6538584416845824.csv	NA	NA	NA	NA	NA
398	Kamran Pourzanjani	6512156958785536.csv	6656381050421248.csv	NA	NA	NA	NA	NA
399	Kavin Stewart	5714087795228672.csv	6674218854907904.csv	NA	NA	NA	NA	NA
400	Keith Nowak	5711982405615616.csv	6638187032084480.csv	NA	NA	NA	NA	NA
401	Ken Ross	5927289145524224.csv	6147079235698688.csv	NA	NA	NA	NA	NA
402	Ken Salkin	4916394541973504.csv	6285656653299712.csv	NA	NA	NA	NA	NA
403	Kevin Moore	5583277939228672.csv	6238042817822720.csv	NA	NA	NA	NA	NA
404	Kevin Rose	5671320943591424.csv	6418222832156672.csv	NA	NA	NA	NA	NA
405	Kevin Willer	5734052699045888.csv	6391834553090048.csv	NA	NA	NA	NA	NA
406	Khailee Ng	5090786093826048.csv	5553503107809280.csv	NA	NA	NA	NA	NA
407	Kite Ventures	4829034152198144.csv	5043297735147520.csv	NA	NA	NA	NA	NA
408	Krillion Ventures	5678279021297664.csv	6544329870934016.csv	NA	NA	NA	NA	NA
409	Kyle Porter	5086860837650432.csv	6312258070118400.csv	NA	NA	NA	NA	NA
410	Launch Capital	5741691969470464.csv	6496013984464896.csv	NA	NA	NA	NA	NA
411	LaunchBox Digital	4720511078629376.csv	8004.csv	NA	NA	NA	NA	NA
412	LaunchHouse	5554289594335232.csv	287009.csv	NA	NA	NA	NA	NA
413	LAUNCHub	6336393106161664.csv	338001.csv	NA	NA	NA	NA	NA
414	Laurent Asscher	4788065545486336.csv	6022508608225280.csv	NA	NA	NA	NA	NA
415	Lead Edge Capital	5127766676602880.csv	6304655810232320.csv	NA	NA	NA	NA	NA
416	LEAF Investments	4814454097182720.csv	5760741894258688.csv	NA	NA	NA	NA	NA
417	LearnLaunchX	5452234896703488.csv	1375001.csv	NA	NA	NA	NA	NA
418	Lee Lau	5004924651831296.csv	5115067783708672.csv	NA	NA	NA	NA	NA
419	Leonard Speiser	4673346587328512.csv	6655162680606720.csv	NA	NA	NA	NA	NA
420	Li Ka-shing	5159039746965504.csv	5640005951160320.csv	NA	NA	NA	NA	NA
421	Lily Sarafan	5662125552828416.csv	6400933567135744.csv	NA	NA	NA	NA	NA
422	lool ventures	4768744534441984.csv	5106954305273856.csv	NA	NA	NA	NA	NA
423	Loren Siebert	5672648558247936.csv	5970586845052928.csv	NA	NA	NA	NA	NA
424	Lorenzo Thione	4658985839886336.csv	5937790646747136.csv	NA	NA	NA	NA	NA
425	Lucas Venture Group	6031209607987200.csv	6594266117701632.csv	NA	NA	NA	NA	NA
426	Lucy McAllister	6254298195296256.csv	6660158574821376.csv	NA	NA	NA	NA	NA
427	Lucy McQuilken	5859152937091072.csv	6257126766804992.csv	NA	NA	NA	NA	NA
428	m8 Capital	5901160682618880.csv	6412299535384576.csv	NA	NA	NA	NA	NA
429	Magma Venture Partners	5643794766626816.csv	6325063347339264.csv	NA	NA	NA	NA	NA
430	Mahdi Shariff	5658408057307136.csv	6049631783878656.csv	NA	NA	NA	NA	NA
431	Maine Venture Fund	4812553557377024.csv	6128321926529024.csv	NA	NA	NA	NA	NA
432	malmo ventures	4864581868453888.csv	5420055118479360.csv	NA	NA	NA	NA	NA
433	Manish Lachwani	5635312776642560.csv	5646737305763840.csv	NA	NA	NA	NA	NA
434	Marc Altshuller	4644095758696448.csv	5729283825729536.csv	NA	NA	NA	NA	NA
435	Marc Randolph	4854926899412992.csv	4980606412783616.csv	NA	NA	NA	NA	NA
436	Mark Wachen	4896236599508992.csv	5144732950855680.csv	NA	NA	NA	NA	NA
437	MaRS Investment Accelerator Fund	5662366389764096.csv	6399949591805952.csv	NA	NA	NA	NA	NA
438	Massimiliano Pellegrini	5679236434100224.csv	6630681308299264.csv	NA	NA	NA	NA	NA
439	Mathias Ackermand	5755394743861248.csv	5772626131681280.csv	NA	NA	NA	NA	NA
440	Matt Mazzeo	5692728285331456.csv	6397928037941248.csv	NA	NA	NA	NA	NA
441	Matt Molinari	4906108766388224.csv	6694024870100992.csv	NA	NA	NA	NA	NA
442	Mattias Miksche	5073683991232512.csv	5162267276476416.csv	NA	NA	NA	NA	NA
443	Maurice Werdegar	5083457948483584.csv	6591410107056128.csv	NA	NA	NA	NA	NA
444	Maven Ventures	5089889963999232.csv	5103194396950528.csv	NA	NA	NA	NA	NA
445	Media Camp	5065928358232064.csv	926002.csv	NA	NA	NA	NA	NA
446	Mehul Nariyawala	5638275381329920.csv	6657060057907200.csv	NA	NA	NA	NA	NA
447	MentorTech Ventures	5410236823240704.csv	5658025956212736.csv	NA	NA	NA	NA	NA
448	Mexican.VC	5465542177587200.csv	5713909352759296.csv	NA	NA	NA	NA	NA
449	Meyer Malka	5516798048862208.csv	5684374464888832.csv	NA	NA	NA	NA	NA
450	Michael Arrington	5145160300101632.csv	5732769560788992.csv	NA	NA	NA	NA	NA
451	Michael Baum	5200794722762752.csv	5249287927627776.csv	NA	NA	NA	NA	NA
452	Michael Berolzheimer	5114064371974144.csv	6423066481524736.csv	NA	NA	NA	NA	NA
453	Michael Fleisher	5191326739988480.csv	6610584887885824.csv	NA	NA	NA	NA	NA
454	Michael Klayko	5693170465636352.csv	6441204900167680.csv	NA	NA	NA	NA	NA
455	Michael Levit	4647823890972672.csv	6308955328348160.csv	NA	NA	NA	NA	NA
456	Michael Litt	4906608123445248.csv	5748996463132672.csv	NA	NA	NA	NA	NA
457	Michael Mark	4596972791005184.csv	4870942446583808.csv	NA	NA	NA	NA	NA
458	Mid-Atlantic Angel Group	5677473568129024.csv	6303317785313280.csv	NA	NA	NA	NA	NA
459	Mike Curtis	5547168031047680.csv	5713068310921216.csv	NA	NA	NA	NA	NA
460	Mike Dunleavy Jr.	5635496034172928.csv	6079682470477824.csv	NA	NA	NA	NA	NA
461	Mike McCauley	6388826868023296.csv	6548060133916672.csv	NA	NA	NA	NA	NA
462	Mike Shinoda	6325927998914560.csv	6573668830281728.csv	NA	NA	NA	NA	NA
463	Mike Stork	5646800992075776.csv	6089025836285952.csv	NA	NA	NA	NA	NA
464	Miles Lasater	5033506988097536.csv	5733993592913920.csv	NA	NA	NA	NA	NA
465	MissionOG	5184445011197952.csv	5207063395303424.csv	NA	NA	NA	NA	NA
466	MK Capital	4620636613771264.csv	5738107567603712.csv	NA	NA	NA	NA	NA
467	Moment Ventures	5240461790806016.csv	6275927650598912.csv	NA	NA	NA	NA	NA
468	Momentum	6459210476814336.csv	3007.csv	NA	NA	NA	NA	NA
469	Monkfish Equity	4833159283736576.csv	5378224645210112.csv	NA	NA	NA	NA	NA
470	Moosylvania Marketing	5839654465044480.csv	6239813669748736.csv	NA	NA	NA	NA	NA
471	Mosley Ventures	5292506132512768.csv	5325669022040064.csv	NA	NA	NA	NA	NA
472	Mousse Partners	5662472186888192.csv	6143684999380992.csv	NA	NA	NA	NA	NA
473	National Institutes of Health	5593418579312640.csv	6735289233965056.csv	NA	NA	NA	NA	NA
474	National Science Foundation	5949207005364224.csv	6127710170513408.csv	NA	NA	NA	NA	NA
475	Naveen Jain	5635323262402560.csv	6140636650536960.csv	NA	NA	NA	NA	NA
476	Navitas Capital	5392258224357376.csv	5697906656935936.csv	NA	NA	NA	NA	NA
477	NC IDEA	5732977665376256.csv	5834191971287040.csv	NA	NA	NA	NA	NA
478	Neil Davidson	6283958048260096.csv	6644432552067072.csv	NA	NA	NA	NA	NA
479	Netprice Partners	5635395085664256.csv	5830236843278336.csv	NA	NA	NA	NA	NA
480	New Dominion Angels	5989309249224704.csv	6089739673272320.csv	NA	NA	NA	NA	NA
481	New Ground Ventures	5715920689299456.csv	6243536739500032.csv	NA	NA	NA	NA	NA
482	New York Angels	5749095016693760.csv	6479551978799104.csv	NA	NA	NA	NA	NA
483	New York Digital Health Accelerator	6494344655667200.csv	237002.csv	NA	NA	NA	NA	NA
484	New Zealand Venture Investment Fund	4882034182848512.csv	6271706599522304.csv	NA	NA	NA	NA	NA
485	NextStart	5935251612237824.csv	3008.csv	NA	NA	NA	NA	NA
486	Nexus Venture Partners	5748074521559040.csv	6650233580683264.csv	NA	NA	NA	NA	NA
487	Nick Bilogorskiy	6363222391128064.csv	6493851971747840.csv	NA	NA	NA	NA	NA
488	Nissay Capital	5439472262971392.csv	5712014953414656.csv	NA	NA	NA	NA	NA
489	NMotion	5637431571251200.csv	589004.csv	NA	NA	NA	NA	NA
490	Nonami Investments	5109096755757056.csv	5337930881040384.csv	NA	NA	NA	NA	NA
491	North Coast Angel Fund	5965444393467904.csv	6485694037884928.csv	NA	NA	NA	NA	NA
492	Northern Michigan Angels	4576231752204288.csv	4658706755092480.csv	NA	NA	NA	NA	NA
493	Novel TMT Ventures	5473423299969024.csv	5750001607114752.csv	NA	NA	NA	NA	NA
494	O'Leary Ventures	4685588389167104.csv	6296182364045312.csv	NA	NA	NA	NA	NA
495	Oasis 500	6413219434332160.csv	4004.csv	NA	NA	NA	NA	NA
496	Only Holding	5718114595504128.csv	5783338316988416.csv	NA	NA	NA	NA	NA
497	Ontario Centres of Excellence	5202385194450944.csv	5634911297863680.csv	NA	NA	NA	NA	NA
498	Optus Innov8	5311573740486656.csv	6150890599743488.csv	NA	NA	NA	NA	NA
499	Orange	5764515694116864.csv	6672712890056704.csv	NA	NA	NA	NA	NA
500	Orange Digital Ventures	5352322917990400.csv	5737250390278144.csv	NA	NA	NA	NA	NA
501	Orange Fab	6138618150125568.csv	5508616203272192.csv	NA	NA	NA	NA	NA
502	Oregon Story Board	4944044060835840.csv	5077134548664320.csv	NA	NA	NA	NA	NA
503	Otter Rock Capital	5998881154269184.csv	6302711603527680.csv	NA	NA	NA	NA	NA
504	Ovo Fund	5985656899633152.csv	6304048374349824.csv	NA	NA	NA	NA	NA
505	Owen Van Natta	5108762033520640.csv	5997018610663424.csv	NA	NA	NA	NA	NA
506	Oxygen Accelerator	4830428422733824.csv	6009.csv	NA	NA	NA	NA	NA
507	Paddy Bolger	5111122185158656.csv	5977237304115200.csv	NA	NA	NA	NA	NA
508	Palm Drive Capital	4988365912932352.csv	6203483749351424.csv	NA	NA	NA	NA	NA
509	Pat Kinsel	5654699571150848.csv	6248110275690496.csv	NA	NA	NA	NA	NA
510	Pat Matthews	5642363133231104.csv	6731623076724736.csv	NA	NA	NA	NA	NA
511	Paul Sagan	5665992415903744.csv	6636307136643072.csv	NA	NA	NA	NA	NA
512	Payment Ventures	5740873912418304.csv	6092702831607808.csv	NA	NA	NA	NA	NA
513	Peak Capital	5758195800735744.csv	6544082612518912.csv	NA	NA	NA	NA	NA
514	Peter Ashley	4928224588988416.csv	5675054880784384.csv	NA	NA	NA	NA	NA
515	Peter Jackson	4876600390713344.csv	5154512427810816.csv	NA	NA	NA	NA	NA
516	Peter Pastewka	5382629142560768.csv	6205534025809920.csv	NA	NA	NA	NA	NA
517	Peter Thornton	4797092631412736.csv	6432247745871872.csv	NA	NA	NA	NA	NA
518	Peter Verrillo	5635705157976064.csv	5705369414270976.csv	NA	NA	NA	NA	NA
519	Phenomen Ventures	4881100514000896.csv	6484982058975232.csv	NA	NA	NA	NA	NA
520	Pietro Dova	5364706780905472.csv	6277147740078080.csv	NA	NA	NA	NA	NA
521	PivotNorth Capital	5117788242837504.csv	6532070335578112.csv	NA	NA	NA	NA	NA
522	PJ Tech Catalyst	5647528838037504.csv	5832352198557696.csv	NA	NA	NA	NA	NA
523	PKS Capital	5815733644689408.csv	5989399326097408.csv	NA	NA	NA	NA	NA
524	PLUS Ventures	4748509701996544.csv	6256261716770816.csv	NA	NA	NA	NA	NA
525	Pole Capital	6321897507651584.csv	6700635479080960.csv	NA	NA	NA	NA	NA
526	Portland Seed Fund	5764351344508928.csv	1008.csv	NA	NA	NA	NA	NA
527	Poseidon Asset Management	5361189643091968.csv	5651542820519936.csv	NA	NA	NA	NA	NA
528	Private Investors	5097657009700864.csv	5161766791151616.csv	NA	NA	NA	NA	NA
529	PROfounders Capital	5111084805521408.csv	6194366150344704.csv	NA	NA	NA	NA	NA
530	Project A Ventures	5136867578085376.csv	6022967427334144.csv	NA	NA	NA	NA	NA
531	Project Skyway	5815461186895872.csv	222002.csv	NA	NA	NA	NA	NA
532	Propeller Venture Accelerator	6403360768917504.csv	8007.csv	NA	NA	NA	NA	NA
533	ProSiebenSat.1 Accelerator	5834954701275136.csv	6296967114129408.csv	NA	NA	NA	NA	NA
534	Prototron	5092318868668416.csv	5143705384124416.csv	NA	NA	NA	NA	NA
535	Providence Health & Services	5682266567081984.csv	5769417476538368.csv	NA	NA	NA	NA	NA
536	Pule Taukobong	4834842474708992.csv	5664125547970560.csv	NA	NA	NA	NA	NA
537	QED Investors	4927571724599296.csv	6143174871351296.csv	NA	NA	NA	NA	NA
538	Rackspace	4553385076326400.csv	4884807607648256.csv	NA	NA	NA	NA	NA
539	Radical Investments	5691605201715200.csv	5727838749589504.csv	NA	NA	NA	NA	NA
540	Rahul Bhatia	4723594227613696.csv	6221012802732032.csv	NA	NA	NA	NA	NA
541	Raine Ventures	4793247960399872.csv	5647711424479232.csv	NA	NA	NA	NA	NA
542	Raj Bhaskar	5391622569197568.csv	6307342291304448.csv	NA	NA	NA	NA	NA
543	Raj Choudhury	5211410934005760.csv	6722531302047744.csv	NA	NA	NA	NA	NA
544	RBC Generator Fund	5176849881628672.csv	5746386733629440.csv	NA	NA	NA	NA	NA
545	Rebecca Roven	5149604756586496.csv	5363689410527232.csv	NA	NA	NA	NA	NA
546	Rees Capital	5832792722112512.csv	6307387883388928.csv	NA	NA	NA	NA	NA
547	Ric Calvillo	5512190714970112.csv	6295387878981632.csv	NA	NA	NA	NA	NA
548	Ricardo Fernandez	5631016853045248.csv	6404893938024448.csv	NA	NA	NA	NA	NA
549	Richard Fearn	4583220964229120.csv	5169112766480384.csv	NA	NA	NA	NA	NA
550	Richmond Park Partners	5829195582144512.csv	6125228707020800.csv	NA	NA	NA	NA	NA
551	Rick Morrison	5759665518411776.csv	6198941666246656.csv	NA	NA	NA	NA	NA
552	Rick Timmins	5196144619552768.csv	6491301700698112.csv	NA	NA	NA	NA	NA
553	Rikard Steiber	5938112853180416.csv	6533355470323712.csv	NA	NA	NA	NA	NA
554	RIT Capital Partners	5762496589725696.csv	6490447002206208.csv	NA	NA	NA	NA	NA
555	Rob de Heus	5037410979151872.csv	5090731156832256.csv	NA	NA	NA	NA	NA
556	Robert Saunders	5742997152989184.csv	6636747169464320.csv	NA	NA	NA	NA	NA
557	Robin Hood Ventures	5670681345785856.csv	6106312341454848.csv	NA	NA	NA	NA	NA
558	Robolution Capital	5605780334051328.csv	5738220075614208.csv	NA	NA	NA	NA	NA
559	Rock Creek Capital	5390629685166080.csv	5706811583758336.csv	NA	NA	NA	NA	NA
560	Rockaway Capital	5152915421396992.csv	6206491816099840.csv	NA	NA	NA	NA	NA
561	rocketship.vc	4616240807018496.csv	5673849286819840.csv	NA	NA	NA	NA	NA
562	Rockstart	5076654938390528.csv	5997454147190784.csv	NA	NA	NA	NA	NA
563	Rockstart Accelerator	6204950296133632.csv	68018.csv	NA	NA	NA	NA	NA
564	Roger Salzman	5148862264115200.csv	5315722536288256.csv	NA	NA	NA	NA	NA
565	Rohit Bansal	5245335131652096.csv	6193500974481408.csv	NA	NA	NA	NA	NA
566	Ron Gura	5680647515406336.csv	6251538506842112.csv	NA	NA	NA	NA	NA
567	Rony Kahan	5130469670649856.csv	6360806065176576.csv	NA	NA	NA	NA	NA
568	Root Ventures	5177065754066944.csv	5970307273719808.csv	NA	NA	NA	NA	NA
569	Rudy Gadre	5175574628663296.csv	5630688472596480.csv	NA	NA	NA	NA	NA
570	Rufus Griscom	5950986195566592.csv	6205153665351680.csv	NA	NA	NA	NA	NA
571	Russia Partners	5130730975789056.csv	5975362848686080.csv	NA	NA	NA	NA	NA
572	Ryan Allis	6020934553042944.csv	6247144621080576.csv	NA	NA	NA	NA	NA
573	Ryan Slack	5174324281475072.csv	6436823261773824.csv	NA	NA	NA	NA	NA
574	Saeed Amidi	5383226143014912.csv	5958338693038080.csv	NA	NA	NA	NA	NA
575	Safa Rashtchy	4975182494040064.csv	5485462470787072.csv	NA	NA	NA	NA	NA
576	Safeguard Scientifics	5140622168031232.csv	5161745677025280.csv	NA	NA	NA	NA	NA
577	Salesforce	5619633793007616.csv	5730344800092160.csv	NA	NA	NA	NA	NA
578	Sam Choi	5370228263354368.csv	5732789911552000.csv	NA	NA	NA	NA	NA
579	Sam Teller	5658896907632640.csv	6046928919855104.csv	NA	NA	NA	NA	NA
580	Sam Yagan	5503345544396800.csv	6308849631887360.csv	NA	NA	NA	NA	NA
581	Sand Hill East	5666845642194944.csv	6308586313482240.csv	NA	NA	NA	NA	NA
582	Sangbeom Kim	4805408493404160.csv	5271186040684544.csv	NA	NA	NA	NA	NA
583	Sangwook Jin	5357192337162240.csv	5775226499497984.csv	NA	NA	NA	NA	NA
584	Sapphire Ventures	4833363164659712.csv	5645058560753664.csv	NA	NA	NA	NA	NA
585	Sarah du Heaume	5501863340277760.csv	5630776972410880.csv	NA	NA	NA	NA	NA
586	Sarah Imbach	5707956494532608.csv	5890308239785984.csv	NA	NA	NA	NA	NA
587	Science	6063994867548160.csv	6298687890259968.csv	NA	NA	NA	NA	NA
588	Scott Petry	5658270110842880.csv	5729638462521344.csv	NA	NA	NA	NA	NA
589	Scottish Equity Partners (SEP)	5049049669435392.csv	5123009698332672.csv	NA	NA	NA	NA	NA
590	Seattle Angel Conference	4817049184370688.csv	5099214589657088.csv	NA	NA	NA	NA	NA
591	Seed Hatchery	5170759919992832.csv	1030003.csv	NA	NA	NA	NA	NA
592	Seedcamp	5813051710242816.csv	4005.csv	NA	NA	NA	NA	NA
593	SeedSumo	6284670509514752.csv	5955001.csv	NA	NA	NA	NA	NA
594	Seeqnce	4706469547081728.csv	100003.csv	NA	NA	NA	NA	NA
595	Seraph Group	5561392291643392.csv	5682445630308352.csv	NA	NA	NA	NA	NA
596	Sergio Cortü¾™“ ¼s	5638741351727104.csv	6522130707513344.csv	NA	NA	NA	NA	NA
597	Seven Peaks Ventures	5123229349838848.csv	5693721949503488.csv	NA	NA	NA	NA	NA
