InvName	InvID1	InvID2	InvID3	InvID4	InvID5	InvID6	InvID7
64	Allegro Venture Partners	4804025060950016.csv	5436771970056192.csv	NA	NA	NA	NA	NA
65	Allen Angel Capital Education Program (AACE)	4929569542897664.csv	6322279122206720.csv	NA	NA	NA	NA	NA
66	Allen Levinson	5655370592681984.csv	5775680826507264.csv	NA	NA	NA	NA	NA
67	Almi Invest	5510112798048256.csv	5982473691332608.csv	NA	NA	NA	NA	NA
68	AlphaLab	5769086982160384.csv	3001.csv	NA	NA	NA	NA	NA
69	Alven Capital	5905789583622144.csv	6312168010022912.csv	NA	NA	NA	NA	NA
70	AMD Ventures	5186703811674112.csv	6487868276998144.csv	NA	NA	NA	NA	NA
71	American Express Ventures	5693808301834240.csv	5798500751114240.csv	NA	NA	NA	NA	NA
72	Amidzad Partners	4797478805176320.csv	5741145233555456.csv	NA	NA	NA	NA	NA
73	Ammar Kubba	5921048327356416.csv	6335693785661440.csv	NA	NA	NA	NA	NA
74	Amplify.LA	4858649478430720.csv	95004.csv	NA	NA	NA	NA	NA
75	Ana Lü¾³¤¼pez	6207091152781312.csv	6685610316136448.csv	NA	NA	NA	NA	NA
76	Anand Swaminathan	4829460243152896.csv	6166921972023296.csv	NA	NA	NA	NA	NA
77	Andrea Zurek	5676871853277184.csv	5707434735697920.csv	NA	NA	NA	NA	NA
78	Andrew Boszhardt, Jr.	5641611782389760.csv	6703028958658560.csv	NA	NA	NA	NA	NA
79	Andrew McCollum	5559317554003968.csv	6192951080255488.csv	NA	NA	NA	NA	NA
80	Andrew Mullinger	5113265294147584.csv	5144130283896832.csv	NA	NA	NA	NA	NA
81	Andrew Razeghi	5723410843828224.csv	6371234681978880.csv	NA	NA	NA	NA	NA
82	Andrew Reis	5550926127431680.csv	5749366925033472.csv	NA	NA	NA	NA	NA
83	Andrew Valiente	4702708711817216.csv	6646197951397888.csv	NA	NA	NA	NA	NA
84	Andrew Weisz	5778904706973696.csv	5797339373502464.csv	NA	NA	NA	NA	NA
85	Andy Atherton	4516371039780864.csv	5086959085027328.csv	NA	NA	NA	NA	NA
86	Angel Investor	4826526797266944.csv	5824706905112576.csv	NA	NA	NA	NA	NA
87	Angel Investors	4719154665881600.csv	5683857500143616.csv	NA	NA	NA	NA	NA
88	AngelPad	6473454471610368.csv	2002.csv	NA	NA	NA	NA	NA
89	Aniket Khera	5896103119552512.csv	6007076992057344.csv	NA	NA	NA	NA	NA
90	Ankur Pansari	5146100918910976.csv	5256636847357952.csv	NA	NA	NA	NA	NA
91	Anthos Capital	5759993714311168.csv	5863827379847168.csv	NA	NA	NA	NA	NA
92	ARC Angel Fund	4917259260657664.csv	5629534317576192.csv	NA	NA	NA	NA	NA
93	Archetype	5128713662365696.csv	5907085053132800.csv	NA	NA	NA	NA	NA
94	Arie Abecassis	5080103746797568.csv	5914550540959744.csv	NA	NA	NA	NA	NA
95	Ariel Poler	4940921586057216.csv	5642977632321536.csv	NA	NA	NA	NA	NA
96	Ashmeet Sidana	4857871011414016.csv	6567178778181632.csv	NA	NA	NA	NA	NA
97	Atlas Accelerator	5046579031441408.csv	5150407848361984.csv	NA	NA	NA	NA	NA
98	August Capital	4788561379328000.csv	5726274379055104.csv	NA	NA	NA	NA	NA
