"","InvName","InvID","InvWebsite"
"63","ACE & Company","5511407567110144","http://www.seed-db.com/investorgraph/investorview?investorid=5511407567110144"
"64","ACE Fund","4976512503644160","http://www.seed-db.com/investorgraph/investorview?investorid=4976512503644160"
"65","ACE Group","5659678025449472","http://www.seed-db.com/investorgraph/investorview?investorid=5659678025449472"
"66","ACE Group","6454779920252928","http://www.seed-db.com/investorgraph/investorview?investorid=6454779920252928"
"67","ACT Venture Capital","5170104434163712","http://www.seed-db.com/investorgraph/investorview?investorid=5170104434163712"
"68","ACT Venture Capital","6137979676393472","http://www.seed-db.com/investorgraph/investorview?investorid=6137979676393472"
"69","ADObjects, Inc","4812896232013824","http://www.seed-db.com/investorgraph/investorview?investorid=4812896232013824"
"70","ADT Security","5778225418469376","http://www.seed-db.com/investorgraph/investorview?investorid=5778225418469376"
"71","AFSquare","4955193464586240","http://www.seed-db.com/investorgraph/investorview?investorid=4955193464586240"
"72","AIA Konica Minolta Digital Health Accelerator","6023516549808128","http://www.seed-db.com/investorgraph/investorview?investorid=6023516549808128"
"73","AIB Seed Capital Fund","5952347331100672","http://www.seed-db.com/investorgraph/investorview?investorid=5952347331100672"
"74","AITV (Accelerate IT Ventures)","4770891854512128","http://www.seed-db.com/investorgraph/investorview?investorid=4770891854512128"
"75","AJ Vaynerchuk","5889733951488000","http://www.seed-db.com/investorgraph/investorview?investorid=5889733951488000"
"76","AKQA","6503481154207744","http://www.seed-db.com/investorgraph/investorview?investorid=6503481154207744"
"77","ALG International LLC","4772572960915456","http://www.seed-db.com/investorgraph/investorview?investorid=4772572960915456"
"78","ALLVP","5729914112180224","http://www.seed-db.com/investorgraph/investorview?investorid=5729914112180224"
"79","AM Partners","6282592298991616","http://www.seed-db.com/investorgraph/investorview?investorid=6282592298991616"
"80","AMC Networks","5266502253019136","http://www.seed-db.com/investorgraph/investorview?investorid=5266502253019136"
"81","AMD Ventures","5186703811674112","http://www.seed-db.com/investorgraph/investorview?investorid=5186703811674112"
"82","AMD Ventures","6487868276998144","http://www.seed-db.com/investorgraph/investorview?investorid=6487868276998144"
"83","AME Cloud Ventures","6140324728537088","http://www.seed-db.com/investorgraph/investorview?investorid=6140324728537088"
"84","ANII","4773703179042816","http://www.seed-db.com/investorgraph/investorview?investorid=4773703179042816"
"85","AOL Ventures","5038532737368064","http://www.seed-db.com/investorgraph/investorview?investorid=5038532737368064"
"86","APAGM Services","4963860154941440","http://www.seed-db.com/investorgraph/investorview?investorid=4963860154941440"
"87","AQUITI Gestion (ACI, Aqui-Invest, Aquitaine Amorcage)","5104363869569024","http://www.seed-db.com/investorgraph/investorview?investorid=5104363869569024"
"88","ARC Angel Fund","4917259260657664","http://www.seed-db.com/investorgraph/investorview?investorid=4917259260657664"
"89","ARC Angel Fund","5629534317576192","http://www.seed-db.com/investorgraph/investorview?investorid=5629534317576192"
"90","ARTIS Ventures","5765699427368960","http://www.seed-db.com/investorgraph/investorview?investorid=5765699427368960"
"91","AT&T","4570069203943424","http://www.seed-db.com/investorgraph/investorview?investorid=4570069203943424"
"92","ATA Ventures","5711019661852672","http://www.seed-db.com/investorgraph/investorview?investorid=5711019661852672"
"93","ATX Seed Ventures","5996304811425792","http://www.seed-db.com/investorgraph/investorview?investorid=5996304811425792"
"94","AVentures Capital","6417212143304704","http://www.seed-db.com/investorgraph/investorview?investorid=6417212143304704"
"95","AXA Strategic Ventures","5677184714801152","http://www.seed-db.com/investorgraph/investorview?investorid=5677184714801152"
"96","Aadil Mamujee","4868100239392768","http://www.seed-db.com/investorgraph/investorview?investorid=4868100239392768"
"97","Aamer Abdullah","4932346818068480","http://www.seed-db.com/investorgraph/investorview?investorid=4932346818068480"
"98","Aaref Hilaly","5703382002040832","http://www.seed-db.com/investorgraph/investorview?investorid=5703382002040832"
"99","Aaron Bird","4527088304390144","http://www.seed-db.com/investorgraph/investorview?investorid=4527088304390144"
"100","Aaron Harris","5698253676871680","http://www.seed-db.com/investorgraph/investorview?investorid=5698253676871680"
"101","Aaron Houghton","4667515447803904","http://www.seed-db.com/investorgraph/investorview?investorid=4667515447803904"
"102","Aaron Iba","6202724697767936","http://www.seed-db.com/investorgraph/investorview?investorid=6202724697767936"
"103","Aaron Levie","4787641421660160","http://www.seed-db.com/investorgraph/investorview?investorid=4787641421660160"
"104","Aaron Schiff","5220429165756416","http://www.seed-db.com/investorgraph/investorview?investorid=5220429165756416"
"105","Aaron Stone","5117232111681536","http://www.seed-db.com/investorgraph/investorview?investorid=5117232111681536"
"106","Aaron Stone","6256988820340736","http://www.seed-db.com/investorgraph/investorview?investorid=6256988820340736"
"107","Aayush Phumbhra","6287245791199232","http://www.seed-db.com/investorgraph/investorview?investorid=6287245791199232"
"108","Aber Whitcomb","5413983615975424","http://www.seed-db.com/investorgraph/investorview?investorid=5413983615975424"
"109","Aberdare Ventures","4549210070319104","http://www.seed-db.com/investorgraph/investorview?investorid=4549210070319104"
"110","Abhay Singhal","5498929613373440","http://www.seed-db.com/investorgraph/investorview?investorid=5498929613373440"
"111","Abhishek Rungta","5300212478246912","http://www.seed-db.com/investorgraph/investorview?investorid=5300212478246912"
"112","Abstract Ventures","5156187079180288","http://www.seed-db.com/investorgraph/investorview?investorid=5156187079180288"
"113","Abundance Partners","5078612566867968","http://www.seed-db.com/investorgraph/investorview?investorid=5078612566867968"
"114","Abundance Partners","5720947747192832","http://www.seed-db.com/investorgraph/investorview?investorid=5720947747192832"
"115","Abundant Ventures LLC","5367773387554816","http://www.seed-db.com/investorgraph/investorview?investorid=5367773387554816"
"116","Accel","5833270973431808","http://www.seed-db.com/investorgraph/investorview?investorid=5833270973431808"
"117","Accel Partners","6000854016458752","http://www.seed-db.com/investorgraph/investorview?investorid=6000854016458752"
"118","AccelFoods","5317514758193152","http://www.seed-db.com/investorgraph/investorview?investorid=5317514758193152"
"119","Acceleprise","6087473981554688","http://www.seed-db.com/investorgraph/investorview?investorid=6087473981554688"
"120","Acceleprise Ventures","5450812285255680","http://www.seed-db.com/investorgraph/investorview?investorid=5450812285255680"
"121","Accelerace","5130359943462912","http://www.seed-db.com/investorgraph/investorview?investorid=5130359943462912"
"122","Accelerate Fund","5034259249102848","http://www.seed-db.com/investorgraph/investorview?investorid=5034259249102848"
"123","Accelerate Ventures","6622849271857152","http://www.seed-db.com/investorgraph/investorview?investorid=6622849271857152"
"124","Accelerated Growth Partners","4566415977742336","http://www.seed-db.com/investorgraph/investorview?investorid=4566415977742336"
"125","Accelerator Ventures","5756069737398272","http://www.seed-db.com/investorgraph/investorview?investorid=5756069737398272"
"126","Accenture","6520287596118016","http://www.seed-db.com/investorgraph/investorview?investorid=6520287596118016"
"127","Access Industries","5145574231769088","http://www.seed-db.com/investorgraph/investorview?investorid=5145574231769088"
"128","Access Venture Partners","6291469459521536","http://www.seed-db.com/investorgraph/investorview?investorid=6291469459521536"
"129","Access Ventures","5641177101500416","http://www.seed-db.com/investorgraph/investorview?investorid=5641177101500416"
"130","Accion","5315951255879680","http://www.seed-db.com/investorgraph/investorview?investorid=5315951255879680"
"131","Accion Venture Lab","5754906375880704","http://www.seed-db.com/investorgraph/investorview?investorid=5754906375880704"
"132","Accomplice","5641942293544960","http://www.seed-db.com/investorgraph/investorview?investorid=5641942293544960"
"133","Accomplice","5815085108822016","http://www.seed-db.com/investorgraph/investorview?investorid=5815085108822016"
"134","Accomplice","6196655271444480","http://www.seed-db.com/investorgraph/investorview?investorid=6196655271444480"
"135","Acequia Capital","5764609340342272","http://www.seed-db.com/investorgraph/investorview?investorid=5764609340342272"
"136","Acequia Capital","6028619205836800","http://www.seed-db.com/investorgraph/investorview?investorid=6028619205836800"
"137","Acre Venture Partners","4900814598438912","http://www.seed-db.com/investorgraph/investorview?investorid=4900814598438912"
"138","Acta Wireless","5070452590379008","http://www.seed-db.com/investorgraph/investorview?investorid=5070452590379008"
"139","Acta Wireless","5678142576394240","http://www.seed-db.com/investorgraph/investorview?investorid=5678142576394240"
"140","Actinic Ventures","5705841810341888","http://www.seed-db.com/investorgraph/investorview?investorid=5705841810341888"
"141","Active Venture Partners","4811410605342720","http://www.seed-db.com/investorgraph/investorview?investorid=4811410605342720"
"142","Active Venture Partners","5725217229897728","http://www.seed-db.com/investorgraph/investorview?investorid=5725217229897728"
"143","Acumen","6309228880855040","http://www.seed-db.com/investorgraph/investorview?investorid=6309228880855040"
"144","Ad4Ventures","6039341709131776","http://www.seed-db.com/investorgraph/investorview?investorid=6039341709131776"
"145","Adam Berrey","4660448007815168","http://www.seed-db.com/investorgraph/investorview?investorid=4660448007815168"
"146","Adam Berrey","6252233121333248","http://www.seed-db.com/investorgraph/investorview?investorid=6252233121333248"
"147","Adam Bornstein","6677657781534720","http://www.seed-db.com/investorgraph/investorview?investorid=6677657781534720"
"148","Adam Bridgeman","4808618511695872","http://www.seed-db.com/investorgraph/investorview?investorid=4808618511695872"
"149","Adam Caplan","5119755132338176","http://www.seed-db.com/investorgraph/investorview?investorid=5119755132338176"
"150","Adam D'Angelo","5855566685536256","http://www.seed-db.com/investorgraph/investorview?investorid=5855566685536256"
"151","Adam Doppelt","5318414985854976","http://www.seed-db.com/investorgraph/investorview?investorid=5318414985854976"
"152","Adam Draper","5753942759702528","http://www.seed-db.com/investorgraph/investorview?investorid=5753942759702528"
"153","Adam Dü¾–¼Angelo","6410319790342144","http://www.seed-db.com/investorgraph/investorview?investorid=6410319790342144"
"154","Adam Goldstein","4787153204674560","http://www.seed-db.com/investorgraph/investorview?investorid=4787153204674560"
"155","Adam Goldstein","5993280739213312","http://www.seed-db.com/investorgraph/investorview?investorid=5993280739213312"
"156","Adam Gross","5107221415329792","http://www.seed-db.com/investorgraph/investorview?investorid=5107221415329792"
"157","Adam Healey","5677736953643008","http://www.seed-db.com/investorgraph/investorview?investorid=5677736953643008"
"158","Adam Jackson","4717393637015552","http://www.seed-db.com/investorgraph/investorview?investorid=4717393637015552"
"159","Adam Krongold","4758649213812736","http://www.seed-db.com/investorgraph/investorview?investorid=4758649213812736"
"160","Adam Kunz","4939854420901888","http://www.seed-db.com/investorgraph/investorview?investorid=4939854420901888"
"161","Adam Lang","5274049684963328","http://www.seed-db.com/investorgraph/investorview?investorid=5274049684963328"
"162","Adam Lilling","5072177095245824","http://www.seed-db.com/investorgraph/investorview?investorid=5072177095245824"
"163","Adam McNamara","4905109611872256","http://www.seed-db.com/investorgraph/investorview?investorid=4905109611872256"
"164","Adam Nash","5112835134717952","http://www.seed-db.com/investorgraph/investorview?investorid=5112835134717952"
"165","Adam Pisoni","5114447093825536","http://www.seed-db.com/investorgraph/investorview?investorid=5114447093825536"
"166","Adam Quinton","6203339712757760","http://www.seed-db.com/investorgraph/investorview?investorid=6203339712757760"
"167","Adam Schwartz","5584241517658112","http://www.seed-db.com/investorgraph/investorview?investorid=5584241517658112"
"168","Adam Sender","6283343893102592","http://www.seed-db.com/investorgraph/investorview?investorid=6283343893102592"
"169","Adam Smith","5174232786927616","http://www.seed-db.com/investorgraph/investorview?investorid=5174232786927616"
"170","Adam Smith","6099376271261696","http://www.seed-db.com/investorgraph/investorview?investorid=6099376271261696"
"171","Adam Wiggins","5812939936235520","http://www.seed-db.com/investorgraph/investorview?investorid=5812939936235520"
"172","Adams Street Partners","5715158919806976","http://www.seed-db.com/investorgraph/investorview?investorid=5715158919806976"
"173","Adara Ventures","6182873354731520","http://www.seed-db.com/investorgraph/investorview?investorid=6182873354731520"
"174","AddVenture","5109604635639808","http://www.seed-db.com/investorgraph/investorview?investorid=5109604635639808"
"175","Adeyemi Ajao","5193209177178112","http://www.seed-db.com/investorgraph/investorview?investorid=5193209177178112"
"176","Adii Pienaar","6287502415495168","http://www.seed-db.com/investorgraph/investorview?investorid=6287502415495168"
"177","Adil Chaudry","6172134330073088","http://www.seed-db.com/investorgraph/investorview?investorid=6172134330073088"
"178","Adms Chung","5400929750745088","http://www.seed-db.com/investorgraph/investorview?investorid=5400929750745088"
"179","Adms Chung","6342859246534656","http://www.seed-db.com/investorgraph/investorview?investorid=6342859246534656"
"180","Adora Cheung","5183638341681152","http://www.seed-db.com/investorgraph/investorview?investorid=5183638341681152"
"181","Adrian Aoun","4922419911327744","http://www.seed-db.com/investorgraph/investorview?investorid=4922419911327744"
"182","Adrian Eaglestone","5873188751802368","http://www.seed-db.com/investorgraph/investorview?investorid=5873188751802368"
"183","Adrian Stone","4808414987288576","http://www.seed-db.com/investorgraph/investorview?investorid=4808414987288576"
"184","Adrian Stone","6076139558666240","http://www.seed-db.com/investorgraph/investorview?investorid=6076139558666240"
"185","Adrien de Loes","4808682047012864","http://www.seed-db.com/investorgraph/investorview?investorid=4808682047012864"
"186","Advait Shinde","5735061764702208","http://www.seed-db.com/investorgraph/investorview?investorid=5735061764702208"
"187","Advancit Capital","5374146049474560","http://www.seed-db.com/investorgraph/investorview?investorid=5374146049474560"
"188","Advantage Capital Partners","5185274581614592","http://www.seed-db.com/investorgraph/investorview?investorid=5185274581614592"
"189","Adventure Capital","5531320109236224","http://www.seed-db.com/investorgraph/investorview?investorid=5531320109236224"
"190","Afore Capital","5183521324793856","http://www.seed-db.com/investorgraph/investorview?investorid=5183521324793856"
"191","Africa Angels Network","5264632436490240","http://www.seed-db.com/investorgraph/investorview?investorid=5264632436490240"
"192","Afshin Khosrowshahi","5004368155770880","http://www.seed-db.com/investorgraph/investorview?investorid=5004368155770880"
"193","AfterDox","4719794146246656","http://www.seed-db.com/investorgraph/investorview?investorid=4719794146246656"
"194","AgFunder","4921196399296512","http://www.seed-db.com/investorgraph/investorview?investorid=4921196399296512"
"195","AgLaunch Accelerator","5106695130841088","http://www.seed-db.com/investorgraph/investorview?investorid=5106695130841088"
"196","Agile Venture Capital","5685212226781184","http://www.seed-db.com/investorgraph/investorview?investorid=5685212226781184"
"197","Agustin Cuenca","5076963387506688","http://www.seed-db.com/investorgraph/investorview?investorid=5076963387506688"
"198","Agustin Cuenca","5654305453375488","http://www.seed-db.com/investorgraph/investorview?investorid=5654305453375488"
"199","Ahmad Mohammed Ahmad Al-Sayed","4530706935971840","http://www.seed-db.com/investorgraph/investorview?investorid=4530706935971840"
"200","Ahmad Mohammed Ahmad Al-Sayed","5925032849047552","http://www.seed-db.com/investorgraph/investorview?investorid=5925032849047552"
"201","Ahmed Medhat","6224787139461120","http://www.seed-db.com/investorgraph/investorview?investorid=6224787139461120"
"202","Air Asia","5074213920571392","http://www.seed-db.com/investorgraph/investorview?investorid=5074213920571392"
"203","AirTree Ventures","4812850715426816","http://www.seed-db.com/investorgraph/investorview?investorid=4812850715426816"
"204","Airbnb","6475113402728448","http://www.seed-db.com/investorgraph/investorview?investorid=6475113402728448"
"205","Ajay Narula","5000221901717504","http://www.seed-db.com/investorgraph/investorview?investorid=5000221901717504"
"206","Akshay Navle","5232733072654336","http://www.seed-db.com/investorgraph/investorview?investorid=5232733072654336"
"207","Al Hamra Group","5746110752620544","http://www.seed-db.com/investorgraph/investorview?investorid=5746110752620544"
"208","Alain Bankier","5143380795326464","http://www.seed-db.com/investorgraph/investorview?investorid=5143380795326464"
"209","Alain Bankier","5496343669768192","http://www.seed-db.com/investorgraph/investorview?investorid=5496343669768192"
"210","Alain Benzaken","6158961921228800","http://www.seed-db.com/investorgraph/investorview?investorid=6158961921228800"
"211","Alain Roubach","4983641985777664","http://www.seed-db.com/investorgraph/investorview?investorid=4983641985777664"
"212","Alan Jones","5645847542890496","http://www.seed-db.com/investorgraph/investorview?investorid=5645847542890496"
"213","Alan Jones","6754778218496000","http://www.seed-db.com/investorgraph/investorview?investorid=6754778218496000"
"214","Alan MacIntosh","5006624653574144","http://www.seed-db.com/investorgraph/investorview?investorid=5006624653574144"
"215","Alan Matthew","5757394302795776","http://www.seed-db.com/investorgraph/investorview?investorid=5757394302795776"
"216","Alan Stern","6687419805990912","http://www.seed-db.com/investorgraph/investorview?investorid=6687419805990912"
"217","Alan Wizemann","5363615859212288","http://www.seed-db.com/investorgraph/investorview?investorid=5363615859212288"
"218","Albatross Investment","4833046603759616","http://www.seed-db.com/investorgraph/investorview?investorid=4833046603759616"
"219","Albatross Investment","6229650837602304","http://www.seed-db.com/investorgraph/investorview?investorid=6229650837602304"
"220","Albert Armengol","6591476398030848","http://www.seed-db.com/investorgraph/investorview?investorid=6591476398030848"
"221","Albert Dobron, Jr.","6266922643488768","http://www.seed-db.com/investorgraph/investorview?investorid=6266922643488768"
"222","Albert Ni","5202893506347008","http://www.seed-db.com/investorgraph/investorview?investorid=5202893506347008"
"223","Albert Sheu","4769366604251136","http://www.seed-db.com/investorgraph/investorview?investorid=4769366604251136"
"224","Albert Sheu","6097611039703040","http://www.seed-db.com/investorgraph/investorview?investorid=6097611039703040"
"225","Alberto Benbunan","5284839615889408","http://www.seed-db.com/investorgraph/investorview?investorid=5284839615889408"
"226","Alberto Cuevas","5758310355566592","http://www.seed-db.com/investorgraph/investorview?investorid=5758310355566592"
"227","Alberto Gross","5751734391537664","http://www.seed-db.com/investorgraph/investorview?investorid=5751734391537664"
"228","Alberto Moriondo","5061544102592512","http://www.seed-db.com/investorgraph/investorview?investorid=5061544102592512"
"229","Alchemist Accelerator","5938992130293760","http://www.seed-db.com/investorgraph/investorview?investorid=5938992130293760"
"230","Aldo Manzini","5174515193610240","http://www.seed-db.com/investorgraph/investorview?investorid=5174515193610240"
"231","Alec Oxenford","5142107194916864","http://www.seed-db.com/investorgraph/investorview?investorid=5142107194916864"
"232","Alejandro Cosentino","5710037724954624","http://www.seed-db.com/investorgraph/investorview?investorid=5710037724954624"
"233","Alejandro Ozerkovsky","4947884621430784","http://www.seed-db.com/investorgraph/investorview?investorid=4947884621430784"
"234","Aleph","4824146479415296","http://www.seed-db.com/investorgraph/investorview?investorid=4824146479415296"
"235","Aleph","5845935317843968","http://www.seed-db.com/investorgraph/investorview?investorid=5845935317843968"
"236","Alessandro Piol","5069440198639616","http://www.seed-db.com/investorgraph/investorview?investorid=5069440198639616"
