"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","Ecoisme","80,000","seed","2014-06-02","Details",""
"2","DreamIT Ventures","SCVNGR","12,000,000","venture","2012-06-07","Details",""
