"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","Libboo","300,000","angel","2011-12-06","Details",""
"2","Techstars","Libboo","1,100,000","seed","2012-10-03","Details",""
