"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","New York Digital Health Accelerator","Wellth","2,000,000","seed","2016-05-25","Details",""
"2","Y Combinator","E la Carte","13,500,000","venture","2013-11-18","Details",""
