Investor,Seed-DB code,Seed-DB webpage
360 Capital Partners,5.64E+18,http://www.seed-db.com/investorgraph/investorview?investorid=5635255146905600360
360 Capital Partners,5.66E+18,http://www.seed-db.com/investorgraph/investorview?investorid=5656975983509504360
37 Ventures,5.43E+17,http://www.seed-db.com/investorgraph/investorview?investorid=542792349856563237
3TS Capital Partners,5.78E+16,http://www.seed-db.com/investorgraph/investorview?investorid=57834847862784003
3one4 Capital,4.88E+17,http://www.seed-db.com/investorgraph/investorview?investorid=487948594184192034
3rd Prime Capital,5.46E+16,http://www.seed-db.com/investorgraph/investorview?investorid=54649856815267843
3x5 Special Opportunity Fund,6.73E+17,http://www.seed-db.com/investorgraph/investorview?investorid=672647663216230435
408 Ventures,6.24E+18,http://www.seed-db.com/investorgraph/investorview?investorid=6241278354259968408
43North,5.64E+17,http://www.seed-db.com/investorgraph/investorview?investorid=563906869198848043
4490 Ventures,4.93E+19,http://www.seed-db.com/investorgraph/investorview?investorid=49327290743521284490
4DX,5.09E+16,http://www.seed-db.com/investorgraph/investorview?investorid=50911009434501124
4iP,5.25E+16,http://www.seed-db.com/investorgraph/investorview?investorid=52504525977681924
500 Mobile Collective,6.23E+18,http://www.seed-db.com/investorgraph/investorview?investorid=6230778065190912500
500 Startups,4.89E+18,http://www.seed-db.com/investorgraph/investorview?investorid=4891277640335360500
500 Startups Canada,4.92E+18,http://www.seed-db.com/investorgraph/investorview?investorid=4918585663160320500
500Tech,5.09E+18,http://www.seed-db.com/investorgraph/investorview?investorid=5092827553857536500
62 Mile Ventures,5.77E+17,http://www.seed-db.com/investorgraph/investorview?investorid=576677075327385662
645 Ventures,5.81E+18,http://www.seed-db.com/investorgraph/investorview?investorid=5808721041031168645
7-Eleven,5.45E+16,http://www.seed-db.com/investorgraph/investorview?investorid=54521971437731847
"7-Ventures, LLC",4.72E+16,http://www.seed-db.com/investorgraph/investorview?investorid=47157173288960007
77 Ventures,4.62E+17,http://www.seed-db.com/investorgraph/investorview?investorid=461965075519897677
7percent Ventures,5.21E+16,http://www.seed-db.com/investorgraph/investorview?investorid=52055616205619207
7wire Ventures,5.67E+16,http://www.seed-db.com/investorgraph/investorview?investorid=56668909364838407
88mph.ac,6.71E+17,http://www.seed-db.com/investorgraph/investorview?investorid=671110870230630488
8VC,5.70E+16,http://www.seed-db.com/investorgraph/investorview?investorid=56954984385740808
8capita Partners,5.35E+16,http://www.seed-db.com/investorgraph/investorview?investorid=53519365051514888
9Mile Labs,4.92E+16,http://www.seed-db.com/investorgraph/investorview?investorid=49185536354549769
"A Capital Partners, L.P.",5.77E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5770079476121600
A-Grade Investments,6.29E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6286484948647936
A-Grade Investments,6.60E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6597475842392064
A.Capital Ventures,6.34E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6343725789741056
ABC Dream Ventures,5.88E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5884956609871872
ABRT Venture Fund,6.22E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6221701100601344
ACCEL,5.14E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5139991697031168
ACE &amp; Company,5.51E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5511407567110144
ACE Fund,4.98E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4976512503644160
ACE Group,5.66E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5659678025449472
ACE Group,6.45E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6454779920252928
ACT Venture Capital,5.17E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5170104434163712
ACT Venture Capital,6.14E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6137979676393472
"ADObjects, Inc",4.81E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4812896232013824
ADT Security,5.78E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5778225418469376
