"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","FetchNotes","425,000","seed","2013-11-13","Details","Exited"
"2","Techstars","FetchNotes","","venture","2014-01-01","Details","Exited"
"3","500startups","ViralGains","12,300,000","venture","2016-01-06","Details",""
